instance,parameter_set,generation,mean_best_so_far,std_best_so_far
la01,smaller_population,126,675.9666666666667,11.208012322882459
la01,smaller_population,127,675.9666666666667,11.208012322882459
la01,smaller_population,128,675.9666666666667,11.208012322882459
la01,smaller_population,129,675.9666666666667,11.208012322882459
la01,smaller_population,130,675.9666666666667,11.208012322882459
la01,smaller_population,131,675.9666666666667,11.208012322882459
la01,smaller_population,132,675.9666666666667,11.208012322882459
la01,smaller_population,133,675.9666666666667,11.208012322882459
la01,smaller_population,134,675.9666666666667,11.208012322882459
la01,smaller_population,135,675.9666666666667,11.208012322882459
la01,smaller_population,136,675.9666666666667,11.208012322882459
la01,smaller_population,137,675.9666666666667,11.208012322882459
la01,smaller_population,138,675.9666666666667,11.208012322882459
la01,smaller_population,139,675.9666666666667,11.208012322882459
la01,smaller_population,140,675.5333333333333,11.337254223723367
la01,smaller_population,141,675.5333333333333,11.337254223723367
la01,smaller_population,142,675.5333333333333,11.337254223723367
la01,smaller_population,143,675.5333333333333,11.337254223723367
la01,smaller_population,144,675.5333333333333,11.337254223723367
la01,smaller_population,145,675.5,11.364645723197583
la01,smaller_population,146,675.5,11.364645723197583
la01,smaller_population,147,675.5,11.364645723197583
la01,smaller_population,148,675.5,11.364645723197583
la01,smaller_population,149,675.5,11.364645723197583
la01,smaller_population,150,675.5,11.364645723197583
la01,lower_mutation,0,729.6,15.007124744715368
la01,lower_mutation,1,722.8666666666667,15.484660559524002
la01,lower_mutation,2,715.7666666666667,15.692483009023963
la01,lower_mutation,3,705.9333333333333,13.551773858526554
la01,lower_mutation,4,700.7333333333333,13.521205142506608
la01,lower_mutation,5,694.6333333333333,10.905497927993535
la01,lower_mutation,6,693,11.120034730781784
la01,lower_mutation,7,689.7,11.033335069625172
la01,lower_mutation,8,686.9,10.155175341021767
la01,lower_mutation,9,685.6,10.043354296112499
la01,lower_mutation,10,682.8333333333334,8.867154942912027
la01,lower_mutation,11,681.7,8.761790086348872
la01,lower_mutation,12,680.3,9.059763260970321
la01,lower_mutation,13,679.8666666666667,8.981718341599011
la01,lower_mutation,14,679,8.283760598615366
la01,lower_mutation,15,676.7,7.693033122292511
la01,lower_mutation,16,676.1333333333333,7.560027975378514
la01,lower_mutation,17,674.7666666666667,7.238228652300817
la01,lower_mutation,18,674.3333333333334,6.514351971546779
la01,lower_mutation,19,673.3666666666667,6.445973527144187
la01,lower_mutation,20,671.5666666666667,5.992428172477235
la01,lower_mutation,21,670.7,5.80219934519483
la01,lower_mutation,22,670.5333333333333,5.745963100649272
la01,lower_mutation,23,669.9333333333333,4.848983777881807
la01,lower_mutation,24,669.5333333333333,4.761435116413548
la01,lower_mutation,25,669,4.323153382938639
la01,lower_mutation,26,668.4666666666667,4.032055463949847
la01,lower_mutation,27,668.4666666666667,4.032055463949847
la01,lower_mutation,28,668.1,3.6136713588337237
la01,lower_mutation,29,667.8,3.387604178319173
la01,lower_mutation,30,667.7666666666667,3.40064226523343
la01,lower_mutation,31,667.5666666666667,3.2555875928490456
la01,lower_mutation,32,667.5333333333333,3.256117143251255
la01,lower_mutation,33,667.1333333333333,2.596195270979722
la01,lower_mutation,34,667,2.435371528690976
la01,lower_mutation,35,666.9666666666667,2.4422055229017796
la01,lower_mutation,36,666.9666666666667,2.4422055229017796
la01,lower_mutation,37,666.9333333333333,2.448551061107482
la01,lower_mutation,38,666.8666666666667,2.4457328544635244
la01,lower_mutation,39,666.8666666666667,2.4457328544635244
la01,lower_mutation,40,666.8666666666667,2.4457328544635244
la01,lower_mutation,41,666.6666666666666,2.248882225544018
la01,lower_mutation,42,666.6666666666666,2.248882225544018
la01,lower_mutation,43,666.6666666666666,2.248882225544018
la01,lower_mutation,44,666.6666666666666,2.248882225544018
la01,lower_mutation,45,666.6666666666666,2.248882225544018
la01,lower_mutation,46,666.6666666666666,2.248882225544018
la01,lower_mutation,47,666.6333333333333,2.2358109434191085
la01,lower_mutation,48,666.6333333333333,2.2358109434191085
la01,lower_mutation,49,666.6,2.237609561948674
la01,lower_mutation,50,666.6,2.237609561948674
la01,lower_mutation,51,666.6,2.237609561948674
la01,lower_mutation,52,666.6,2.237609561948674
la01,lower_mutation,53,666.6,2.237609561948674
la01,lower_mutation,54,666.6,2.237609561948674
la01,lower_mutation,55,666.6,2.237609561948674
la01,lower_mutation,56,666.6,2.237609561948674
la01,lower_mutation,57,666.6,2.237609561948674
la01,lower_mutation,58,666.6,2.237609561948674
la01,lower_mutation,59,666.6,2.237609561948674
la01,lower_mutation,60,666.6,2.237609561948674
la01,lower_mutation,61,666.6,2.237609561948674
la01,lower_mutation,62,666.6,2.237609561948674
la01,lower_mutation,63,666.6,2.237609561948674
la01,lower_mutation,64,666.6,2.237609561948674
la01,lower_mutation,65,666.6,2.237609561948674
la01,lower_mutation,66,666.6,2.237609561948674
la01,lower_mutation,67,666.6,2.237609561948674
la01,lower_mutation,68,666.6,2.237609561948674
la01,lower_mutation,69,666.6,2.237609561948674
la01,lower_mutation,70,666.6,2.237609561948674
la01,lower_mutation,71,666.6,2.237609561948674
la01,lower_mutation,72,666.6,2.237609561948674
la01,lower_mutation,73,666.6,2.237609561948674
la01,lower_mutation,74,666.6,2.237609561948674
la01,lower_mutation,75,666.6,2.237609561948674
la01,lower_mutation,76,666.6,2.237609561948674
la01,lower_mutation,77,666.6,2.237609561948674
la01,lower_mutation,78,666.6,2.237609561948674
la01,lower_mutation,79,666.6,2.237609561948674
