category,instance,parameter_set,run,seed,population_size,generations,crossover_probability,mutation_probability,reference_optimum,best_makespan,final_makespan,gap_percent,elapsed_seconds,time_to_best_seconds,convergence_generation,unique_evaluations,early_improvement_percent,late_improvement_percent
small,la02,smaller_population,21,20,20,150,0.8,0.1,655,663,663,1.2213740458015376,0.1112874450000163,0.014540897000188124,17,2074,15.217391304347826,0.0
small,la02,smaller_population,22,21,20,150,0.8,0.1,655,746,746,13.893129770992374,0.12508972000068752,0.0191946970007848,21,2304,2.8645833333333335,0.0
small,la02,smaller_population,23,22,20,150,0.8,0.1,655,716,732,9.31297709923664,0.12663227899975027,0.10791614200024924,127,2289,7.320099255583126,3.1123139377537212
small,la02,smaller_population,24,23,20,150,0.8,0.1,655,714,736,9.007633587786268,0.12756207099937455,0.06960868399983156,80,2303,2.6881720430107525,0.0
small,la02,smaller_population,25,24,20,150,0.8,0.1,655,694,694,5.954198473282446,0.1249008690001574,0.05698320099963894,64,2229,11.524163568773234,0.0
small,la02,smaller_population,26,25,20,150,0.8,0.1,655,688,699,5.038167938931304,0.12431543300044723,0.10468018000028678,127,2359,9.33852140077821,1.5736766809728182
small,la02,smaller_population,27,26,20,150,0.8,0.1,655,690,690,5.343511450381677,0.11965807200067502,0.06207993499992881,73,2221,10.64638783269962,0.0
small,la02,smaller_population,28,27,20,150,0.8,0.1,655,684,686,4.427480916030535,0.12716542399994069,0.08971416300028068,105,2286,10.201511335012594,0.0
small,la02,smaller_population,29,28,20,150,0.8,0.1,655,717,717,9.465648854961838,0.12363262199960445,0.025003923999975086,29,2262,6.2745098039215685,0.0
small,la02,smaller_population,30,29,20,150,0.8,0.1,655,701,701,7.022900763358786,0.10994435100019473,0.10211875000004511,140,1889,9.541984732824428,1.4064697609001406
small,la02,lower_mutation,1,0,50,150,0.8,0.05,655,669,669,2.1374045801526798,0.31671711999933905,0.1534981559998414,73,6034,12.229299363057326,0.0
small,la02,lower_mutation,2,1,50,150,0.8,0.05,655,670,671,2.2900763358778553,0.31553787299981195,0.21332653100034804,98,5846,8.433734939759036,0.0
small,la02,lower_mutation,3,2,50,150,0.8,0.05,655,665,671,1.526717557251911,0.32795551900017017,0.0890408249997563,40,6080,12.919896640826874,0.0
small,la02,lower_mutation,4,3,50,150,0.8,0.05,655,669,669,2.1374045801526798,0.33812520199990104,0.09779504499965697,44,5935,11.432325886990801,0.0
small,la02,lower_mutation,5,4,50,150,0.8,0.05,655,665,665,1.526717557251911,0.3372974419999082,0.2673111999993125,118,6007,8.333333333333334,0.8941877794336811
small,la02,lower_mutation,6,5,50,150,0.8,0.05,655,669,681,2.1374045801526798,0.3333323950000704,0.14741333099937037,65,5959,12.355212355212355,0.0
small,la02,lower_mutation,7,6,50,150,0.8,0.05,655,679,689,3.6641221374045907,0.3236423999996987,0.09656358099982754,42,5953,9.921671018276763,0.0
small,la02,lower_mutation,8,7,50,150,0.8,0.05,655,676,681,3.2061068702289974,0.35041440700024395,0.037243413000396686,13,5967,11.864406779661017,0.0
small,la02,lower_mutation,9,8,50,150,0.8,0.05,655,672,679,2.595419847328251,0.33334416399975453,0.09806810699956259,41,5916,9.234828496042216,0.0
small,la02,lower_mutation,10,9,50,150,0.8,0.05,655,694,694,5.954198473282446,0.5133398469997701,0.08251785700031178,37,5885,11.704834605597965,0.0
small,la02,lower_mutation,11,10,50,150,0.8,0.05,655,677,678,3.358778625954195,0.37612593499943614,0.07915603199944599,25,6079,9.97340425531915,0.0
small,la02,lower_mutation,12,11,50,150,0.8,0.05,655,662,662,1.0687022900763399,0.47692519999964134,0.19546521699976438,63,5857,12.337662337662337,0.0
small,la02,lower_mutation,13,12,50,150,0.8,0.05,655,705,705,7.6335877862595325,0.3767587510001249,0.06873811799960095,21,5877,3.6885245901639343,0.0
small,la02,lower_mutation,14,13,50,150,0.8,0.05,655,705,705,7.6335877862595325,0.4963287490008952,0.12808671800030424,53,5934,2.4226110363391657,0.0
small,la02,lower_mutation,15,14,50,150,0.8,0.05,655,667,667,1.8320610687022842,0.3542746189996251,0.2996890770000391,126,5964,9.921671018276763,1.6224188790560472
small,la02,lower_mutation,16,15,50,150,0.8,0.05,655,667,667,1.8320610687022842,0.3260977579993778,0.18240740799956257,80,5863,11.11111111111111,0.0
small,la02,lower_mutation,17,16,50,150,0.8,0.05,655,676,676,3.2061068702289974,0.3298407259999294,0.1373146949999864,61,5999,13.104325699745548,0.0
small,la02,lower_mutation,18,17,50,150,0.8,0.05,655,666,679,1.6793893129771087,0.32008300100005727,0.13106487200002448,61,5938,9.597924773022049,0.0
small,la02,lower_mutation,19,18,50,150,0.8,0.05,655,700,705,6.870229007633588,0.35291839000001346,0.06378028899962374,25,5989,11.504424778761061,0.0
small,la02,lower_mutation,20,19,50,150,0.8,0.05,655,708,709,8.091603053435104,0.3354206499998327,0.10062821899919072,43,5974,9.734513274336283,0.0
small,la02,lower_mutation,21,20,50,150,0.8,0.05,655,702,702,7.175572519083961,0.317739975999757,0.050792654000360926,22,5918,9.419354838709678,0.0
small,la02,lower_mutation,22,21,50,150,0.8,0.05,655,672,672,2.595419847328251,0.3265808639998795,0.08250822700028948,36,5982,12.5,0.0
